id,source_url,cam_url,cam_stream,ipwithport,ip2location,latitude,longitude,country_code,country,state,city,zipcode,timezone,cam_fixed_url,cam_ip,image_jpeg,camera_model,image_jpg_url,image_url_full,live_webcam_stream,manufacturer,tag,title_seo,description_seo,view_count
6,,,http://195.230.164.17:80/mjpg/video.mjpg,195.230.164.17:80,195.230.164.17,4.809.990.000,1.628.330.000,AT,Austria,Niederosterreich,Maria Enzersdorf,2344,+02:00,,http://195.230.164.17:80,,AXIS,,http://195.230.164.17:80/jpg/image.jpg,http://195.230.164.17:80/mjpg/video.mjpg,Axis,,"Maria Enzersdorf Webcam - Live Stream Cam in Niederosterreich, Austria","Watch a live webcam stream from Maria Enzersdorf, Austria. Captured by an Axis branded camera.",0
10,,,http://91.112.107.178:10000/mjpg/video.mjpg,91.112.107.178:10000,91.112.107.178,4.820.840.000,1.637.200.000,AT,Austria,Wien,Vienna,1010,+02:00,,http://91.112.107.178:10000,,AXIS,,http://91.112.107.178:10000/jpg/image.jpg,http://91.112.107.178:10000/mjpg/video.mjpg,Axis,,"Vienna Webcam - Live Stream Cam in Wien, Austria","Watch a live webcam stream from Vienna, Austria. Captured by an Axis branded camera.",0
11,,,http://91.113.220.122:80/mjpg/video.mjpg,91.113.220.122:80,91.113.220.122,4.820.840.000,1.637.200.000,AT,Austria,Wien,Vienna,1010,+02:00,,http://91.113.220.122:80,,AXIS,,http://91.113.220.122:80/jpg/image.jpg,http://91.113.220.122:80/mjpg/video.mjpg,Axis,,"Vienna Webcam - Live Stream Cam in Wien, Austria","Watch a live webcam stream from Vienna, Austria. Captured by an Axis branded camera.",0
22,,,http://80.123.111.53:80/mjpg/video.mjpg,80.123.111.53:80,80.123.111.53,4.820.840.000,1.637.200.000,AT,Austria,Wien,Vienna,1010,+02:00,,http://80.123.111.53:80,,AXIS,,http://80.123.111.53:80/jpg/image.jpg,http://80.123.111.53:80/mjpg/video.mjpg,Axis,,"Vienna Webcam - Live Stream Cam in Wien, Austria","Watch a live webcam stream from Vienna, Austria. Captured by an Axis branded camera.",0
27,,,http://90.152.140.171:81/mjpg/video.mjpg,90.152.140.171:81,90.152.140.171,4.820.840.000,1.637.200.000,AT,Austria,Wien,Vienna,1020,+02:00,,http://90.152.140.171:81,,AXIS,,http://90.152.140.171:81/jpg/image.jpg,http://90.152.140.171:81/mjpg/video.mjpg,Axis,,"Vienna Webcam - Live Stream Cam in Wien, Austria","Watch a live webcam stream from Vienna, Austria. Captured by an Axis branded camera.",0
58,,,http://199.91.204.42:85/mjpg/video.mjpg,208.124.240.178:80,199.91.204.42,4.825.000.000,-7.218.240.000,CA,Canada,Quebec,Lac-Bouchette,G0W 1V0,-4:00:00,,http://199.91.204.42:85,,AXIS,,http://199.91.204.42:85/jpg/image.jpg,http://199.91.204.42:85/mjpg/video.mjpg,Axis,,"Lac-Bouchette Webcam - Live Stream Cam in Quebec, Canada","Watch a live webcam stream from Lac-Bouchette, Canada. Captured by an Axis branded camera.",0
61,,,http://199.91.204.42:8080/mjpg/video.mjpg,207.134.255.51:9000,199.91.204.42,4.825.000.000,-7.218.240.000,CA,Canada,Quebec,Lac-Bouchette,G0W 1V0,-4:00:00,,http://199.91.204.42:8080,,AXIS,,http://199.91.204.42:8080/jpg/image.jpg,http://199.91.204.42:8080/mjpg/video.mjpg,Axis,,"Lac-Bouchette Webcam - Live Stream Cam in Quebec, Canada","Watch a live webcam stream from Lac-Bouchette, Canada. Captured by an Axis branded camera.",0
70,,,http://96.1.35.93:80/mjpg/video.mjpg,50.64.41.173:9000,96.1.35.93,4.923.240.000,-12.300.000,CA,Canada,British Columbia,Burnaby,V5H 3Z7,-7:00:00,,http://96.1.35.93:80,,AXIS,,http://96.1.35.93:80/jpg/image.jpg,http://96.1.35.93:80/mjpg/video.mjpg,Axis,,"Burnaby Webcam - Live Stream Cam in British Columbia, Canada","Watch a live webcam stream from Burnaby, Canada. Captured by an Axis branded camera.",0
101,,,http://78.156.144.220:80/mjpg/video.mjpg,77.48.31.68:80,78.156.144.220,4.935.520.000,1.601.220.000,CZ,Czechia,Kraj Vysocina,Velke Mezirici,594 01,+02:00,,http://78.156.144.220:80,,AXIS,,http://78.156.144.220:80/jpg/image.jpg,http://78.156.144.220:80/mjpg/video.mjpg,Axis,,"Velke Mezirici Webcam - Live Stream Cam in Kraj Vysocina, Czechia","Watch a live webcam stream from Velke Mezirici, Czechia. Captured by an Axis branded camera.",0
123,,,http://192.171.163.3:80/mjpg/video.mjpg?COUNTER,128.197.128.160:80,46.23.58.83,491.374.280,132.352.000,CZ,Czechia,Plzensky kraj,Zelezna Ruda,340 04,+02:00,,http://192.171.163.3:80,,AXIS,,http://192.171.163.3:80/jpg/image.jpg,http://192.171.163.3:80/mjpg/video.mjpg,Axis,,"Zelezna Ruda Webcam - Live Stream Cam in Plzensky kraj, Czechia","Watch a live webcam stream from Zelezna Ruda, Czechia. Captured by an Axis branded camera.",0
